,Unnamed: 0,Top ten entry date,Single,Artist(s),Peak,Peak date,Weeks in top ten,Spotify id
0,0,August 4,Poor Little Fool,Ricky Nelson,1,August 4,6,5ayybTSXNwcarDtxQKqvWX
1,1,August 4,Patricia,Pérez Prado,2,August 4,6,2bwhOdCOLgQ8v6xStAqnju
2,2,August 4,Splish Splash,Bobby Darin,3,August 4,3,40fD7ct05FvQHLdQTgJelG
3,3,August 4,Hard Headed Woman,Elvis Presley,4,August 4,2,32CVurlBxtEYQlDm3yzCLl
4,4,August 4,When,Kalin Twins,5,August 4,5,3HZJ9BLBpDya4p71VfXSWp
5,5,August 4,Rebel 'Rouser,Duane Eddy,6,August 4,3,7jZwak3w1Sbwkb8aqusUwi
6,6,August 4,Yakety Yak,The Coasters,7,August 4,1,3Lbxie6whOW4eMt4jtI32k
7,7,August 4,My True Love,Jack Scott,3,August 18,6,2Un1O9CChp4wyTmt422XwW
8,8,August 4,Willie and the Hand Jive,The Johnny Otis Show,9,August 4,2,0f0FXdyHWAx3q7XyU9oLMI
9,9,August 4,Fever,Peggy Lee,8,August 25,3,3aPlQWU07jGgyHaBHVS5TS
10,10,August 11,Nel Blu Dipinto Di Blu (Volare),Domenico Modugno,1,August 18,10,006Ndmw2hHxvnLbJsBFnPx
11,11,August 11,Just a Dream,Jimmy Clanton,4,August 25,8,1LeSp4o3CeNhJz3kCWgi6E
12,12,August 18,Little Star,The Elegants,1,August 25,9,4pAXu3mUCsco6jhaTypLnC
13,13,August 25,Bird Dog,The Everly Brothers,2,September 15,11,2ZCkqAo0tzzCVOth7ityh5
14,14,August 25,Born Too Late,The Poni-Tails,7,September 15,3,3ZyJfbh2Y9y15f45qY1pDJ
15,15,September 1,Ginger Bread,Frankie Avalon,9,September 1,2,70FdlOx7tulYnp2IkS6qQw
16,16,September 1,Are You Really Mine?,Jimmie Rodgers,10,September 1,1,2oPz7fWUmfeNG00NVf5uNa
17,17,September 8,Rockin' Robin,Bobby Day,2,October 13,10,4FlYcJnfkeBpowEHJ72Bmt
18,18,September 8,Western Movies,The Olympics,8,September 15,2,398Q0gLfmsjJ5GFx9W2q5Y
19,19,September 15,It's All in the Game,Tommy Edwards,1,September 29,12,2tvt5K7y1gndmCgtIoLo1f
20,20,September 15,Tears on My Pillow,Little Anthony and the Imperials,4,October 13,8,07ePHsQ0SopWrnCbNjNC2D
21,21,September 15,Susie Darlin',Robin Luke,5,October 13,7,1xjCGpAJVRAECqs5Pt6Gw1
22,22,September 22,Devoted to You,The Everly Brothers,10,September 22,1,4FrMb1ckGBrhARbHySQKx5
23,23,September 29,Summertime Blues,Eddie Cochran,8,September 29,2,3oAWTk92mZBxKBOKf8mR5v
24,24,September 29,Near You,Roger Williams,10,September 29,3,0aVMdNotlKqTs5eVAomnBw
25,25,October 6,Tea for Two Cha Cha,Tommy Dorsey,7,November 3,6,3QWUoUlkbCJPAD0YhLjtLS
26,26,October 13,The End,Earl Grant,7,October 13,3,7sEmUltyPUy9v2Of7Whzpy
27,27,October 20,"Topsy, Part 2",Cozy Cole,3,October 20,8,6QPesyILXONwLjJzXbkHuQ
28,28,October 20,It's Only Make Believe,Conway Twitty,1,November 10,10,1xVOttVNT27FBTD8iHjOfU
